,y,Distance,Precipitation,Traffic
0,0,1018,0,0.2998857644800156
1,0,973,0,0.5656169296945446
2,0,1021,0,0.4145635026333154
3,0,998,0,0.5597669493907597
4,0,985,0,0.7772165360142361
5,0,994,0,0.716721519724186
6,0,991,0,0.7829836041320496
7,1,967,0,0.5876936537021802
8,0,1003,0,0.5959057233699598
9,0,1012,0,0.7422930369880161
10,0,1021,0,0.4134439468730094
11,0,1021,0,0.31403945483375534
12,0,987,1,0.28064496948561046
13,0,980,0,0.23051457967759492
14,0,950,0,0.7094964007781931
15,0,994,0,0.3739197126740129
16,0,993,1,0.654885596834422
17,0,993,0,0.4931739985979289
18,0,1067,0,0.27944808220228456
19,0,1011,0,0.38693381351604034
20,0,983,0,0.5120857918650878
21,0,1040,0,0.7510848060244001
22,0,998,0,0.5093373945408685
23,1,1002,0,0.8036860584573527
24,0,957,0,0.7047519613725474
25,0,1009,0,0.1591271225230238
26,0,985,1,0.8317255868108681
27,0,992,0,0.5452303244994849
28,0,1042,0,0.09487231823596458
29,0,1016,0,0.35258757187532264
30,0,1011,0,0.315367033445651
31,0,1036,0,0.4249094634201105
32,0,1026,0,0.3255684506016242
33,0,969,1,0.3009749724154717
34,0,951,0,0.6157239938589054
35,0,1012,0,0.4487557777507989
36,0,1005,0,0.44869521960106545
37,1,963,0,0.5166384523356519
38,0,983,0,0.623037752326252
39,1,1005,1,0.33322575432383006
40,0,1056,0,0.417411186965627
41,0,987,0,0.2987778617950433
42,0,982,0,0.34270809480263276
43,0,987,0,0.7219994718784455
44,0,1008,0,0.5723922022199618
45,0,963,1,0.5782059831004482
46,0,975,0,0.5804696291783521
47,0,1001,0,0.10226586369816322
48,0,954,0,0.3903385715347638
49,0,983,0,0.5659821633549269
50,0,1037,0,0.3787431947383835
51,0,1038,0,0.2564885419319223
52,0,983,0,0.7006191222829177
53,0,966,1,0.6860985120486753
54,0,985,0,0.5520314595179421
55,0,1007,1,0.75966545748941
56,0,1049,0,0.14784826860244696
57,0,980,0,0.22714337147297523
58,0,1048,0,0.20030177409810576
59,0,977,0,0.10249079537124944
60,0,1031,0,0.7036176347280577
61,0,1022,0,0.28821548305032274
62,0,1009,0,0.6344800294337722
63,0,993,1,0.5357629140239255
64,0,996,0,0.20811668964580643
65,0,950,0,0.4806689812895347
66,0,1058,1,0.350807690767695
67,0,996,1,0.86872628065087
68,0,1023,0,0.10293072273230404
69,0,1020,0,0.6660946860798529
70,0,965,1,0.2686581797653511
71,0,980,0,0.31620127414203414
72,0,1015,0,0.7035073422967384
73,0,1015,0,0.299832688235005
74,0,1018,0,0.0966588135187562
75,0,994,0,0.25475964239744614
76,0,1006,0,0.6084890172196862
77,0,1007,0,0.1841679186364253
78,0,985,0,0.9357289662166254
79,1,1024,0,0.5202435500935298
80,0,1024,0,0.49342386733495647
81,0,1039,0,0.812774055735374
82,0,1051,0,0.1627021150268172
83,0,946,0,0.571392399719475
84,0,991,0,0.1757428945815332
85,0,1006,0,0.3293670369023617
86,0,970,0,0.2352150556089501
87,0,997,1,0.8982146541629085
88,0,1060,0,0.7936342058294763
89,0,971,0,0.7733799091042785
90,0,989,1,0.07680090346994015
91,1,998,0,0.7949357364638631
92,0,1004,0,0.375358365489078
93,0,1026,0,0.6678982054667415
94,0,953,0,0.6567774788063603
95,0,1015,0,0.4182304761030221
96,1,1029,0,0.7083395199808791
97,1,993,1,0.3463515821166253
98,0,992,0,0.2551647733737245
99,0,967,0,0.28090735578550485
100,0,1037,1,0.4267549779140689
101,0,992,1,0.2373921470778352
102,0,974,0,0.47811083709880464
103,0,1054,0,0.6517443472685238
104,0,997,0,0.5015268281909164
105,1,983,0,0.5505955884409824
106,0,975,0,0.2766748519707737
107,0,974,0,0.48799461967299
108,0,1047,0,0.14918211054988503
109,0,1003,0,0.5951012517622674
110,0,951,0,0.3318823055748141
111,0,1086,1,0.8053787501607761
112,0,1030,0,0.42521119326967516
113,0,971,0,0.7102688974066625
114,0,1020,0,0.19931883423474164
115,0,1014,1,0.5484532556665894
116,0,1000,1,0.27550428998644216
117,0,988,0,0.5090075353436954
118,0,953,0,0.27689524148661177
119,1,981,0,0.9295634959828802
120,0,979,0,0.6162270030091773
121,0,1003,0,0.40240002489624677
122,0,1009,0,0.4034499146793986
123,0,1012,0,0.2017243240403132
124,0,1045,0,0.8370410390386638
125,0,958,0,0.7506618296395832
126,0,994,0,0.11685007778401443
127,1,987,0,0.7178745498929894
128,0,1035,0,0.4438574797398027
129,1,958,0,0.137269000359101
130,0,973,0,0.370724481415745
131,0,987,0,0.3169053017196041
132,0,1006,0,0.6783193416599689
133,0,1006,0,0.7652823654181131
134,0,981,0,0.4642320638690474
135,0,996,0,0.5528534249432886
136,0,1008,1,0.632533986444686
137,0,1005,1,0.5788406687899242
138,0,1058,0,0.20304314274340357
139,0,930,0,0.044157908597122285
140,0,988,0,0.18512160201511696
141,0,1017,1,0.4150403881111345
142,0,1010,0,0.5645921336478509
143,0,985,0,0.5779482020586776
